Red wine,,,,,
Regression method,Scaling,Seed,mae,r2,rmse
Linear regression,Standard,30,0.52,0.32,0.46
,,20,0.53,0.33,0.48
,,10,0.53,0.35,0.48
,Min max,30,0.52,0.31,0.46
,,20,0.55,0.3,0.51
,,10,0.55,0.29,0.52
,Polynomial,30,0.57,0.1,0.61
,,20,0.57,0.19,0.59
,,10,0.54,0.28,0.52
,Normalized,30,0.52,0.33,0.45
,,20,0.54,0.34,0.48
,,10,0.54,0.34,0.48
Regression tree,Standard,30,0.63,-0.28,0.86
,,20,0.62,-0.12,0.81
,,10,0.61,-0.13,0.82
,Min max,30,0.74,-0.56,1.04
,,20,0.67,-0.27,0.92
,,10,0.65,-0.18,0.86
,Polynomial,30,0.63,-0.34,0.9
,,20,0.59,-0.09,0.79
,,10,0.62,-0.1,0.8
,Normalized,30,0.68,-0.43,0.96
,,20,0.66,-0.29,0.93
,,10,0.64,-0.28,0.93
